Jaunciema 3.līnija;32
Jaunciema 3.līnija;34
Jaunciema 3.līnija;36
Jaunciema 3.līnija;48
Jaunciema 3.līnija;52
Jaunciema 3.līnija;54
Jaunciema 3.līnija;56
Jaunciema 3.līnija;58
Jaunciema 3.līnija;60
Jaunciema 3.līnija;62
Jaunciema 3.līnija;64
Jaunciema 3.līnija;66
Jaunciema 3.līnija;68
Jaunciema gatve;128
Jaunciema 3.līnija;70
Jaunciema 3.līnija;27
Jaunciema 3.līnija;29
Jaunciema 3.līnija;31
Jaunciema 3.līnija;33
Jaunciema 3.līnija;35
Jaunciema 3.līnija;43
Jaunciema 3.līnija;45
Jaunciema 3.līnija;47
Jaunciema 3.līnija;51
Jaunciema 3.līnija;55
Jaunciema 3.līnija;57
Jaunciema 1.šķērslīnija;12
Jaunciema 8.šķērslīnija;10
Jaunciema 8.šķērslīnija;12
Jaunciema 2.šķērslīnija;16
Jaunciema 2.šķērslīnija;14
Jaunciema 2.šķērslīnija;12
Jaunciema 5.šķērslīnija;10A
Jaunciema 5.šķērslīnija;10
Jaunciema 3.šķērslīnija;18
Jaunciema 6.līnija;1A
Jaunciema 3.līnija;26
Jaunciema 5.šķērslīnija;11A
Jaunciema 6.šķērslīnija;17
Jaunciema 8.šķērslīnija;10A
Jaunciema 6.šķērslīnija;15
Jaunciema 4.līnija;5A
Jaunciema 3.līnija;20
Jaunciema 5.šķērslīnija;13
Jaunciema 6.līnija;13
Jaunciema 3.līnija;15A
Jaunciema 5.šķērslīnija;10B
Jaunciema 5.šķērslīnija;16
Jaunciema 3.šķērslīnija;6B
Jaunciema 3.līnija;10
Jaunciema 6.līnija;3A
Jaunciema 4.līnija;11
Jaunciema 5.šķērslīnija;20
Jaunciema 6.šķērslīnija;29
Jaunciema 3.šķērslīnija;19
Jaunciema 6.šķērslīnija;27
Jaunciema 3.šķērslīnija;14B
Jaunciema 6.šķērslīnija;25
Slokas iela;122 k-4
Jaunciema 3.šķērslīnija;12F
Jaunciema 5.šķērslīnija;11
Jaunciema 5.šķērslīnija;4B
Jaunciema 6.šķērslīnija;21
Jaunciema 3.šķērslīnija;12E
Jaunciema 3.līnija;1
Jaunciema 6.līnija;9
Jaunciema 6.līnija;7
Jaunciema 6.līnija;3
Jaunciema 6.līnija;1
Jaunciema 5.līnija;4
Jaunciema 4.līnija;6
Jaunciema 4.līnija;8
Jaunciema 4.līnija;4
Jaunciema 4.līnija;1
Jaunciema 4.līnija;5
Jaunciema 4.līnija;9
Jaunciema 3.līnija;4
Jaunciema 3.līnija;8
Jaunciema 3.līnija;6
Jaunciema 3.līnija;3
Jaunciema 3.līnija;5
Jaunciema 3.līnija;7
Jaunciema 5.šķērslīnija;4
Jaunciema 5.šķērslīnija;2
Jaunciema 5.šķērslīnija;7
Jaunciema 5.šķērslīnija;9
Jaunciema 4.šķērslīnija;8
Jaunciema 3.šķērslīnija;6
Jaunciema 3.šķērslīnija;8
Jaunciema 5.šķērslīnija;4A
Jaunciema 5.šķērslīnija;7B
Jaunciema 5.šķērslīnija;7A
Jaunciema 5.šķērslīnija;2D
